Close Datetime,Datetime,Type,Limit,SL,TP,Return,Currency Pair
2021-10-13 10:00:00,2021-10-13 08:30:00,SELL,1.1555,1.1562999999999999,1.153,-1,EURUSD
2021-09-24 11:00:00,2021-09-24 09:45:00,BUY,0.9231,0.9222,0.9259,-1,USDCHF
2021-09-27 06:00:00,2021-09-23 14:45:00,BUY,0.9227,0.9214,0.9266,3,USDCHF
2021-10-13 15:00:00,2021-10-13 14:30:00,SELL,1.1566,1.1576,1.1536,-1,EURUSD
2021-10-26 14:45:00,2021-10-26 14:30:00,BUY,1.1604,1.1598,1.1624,-1,EURUSD
2021-09-28 07:00:00,2021-09-27 08:30:00,SELL,0.928,0.9294,0.924,-1,USDCHF
2021-10-04 10:15:00,2021-10-04 09:15:00,BUY,0.9289,0.9283,0.9307,-1,USDCHF
2021-10-28 12:30:00,2021-10-28 09:30:00,BUY,1.159,1.1579,1.1623,3,EURUSD
2021-10-28 13:00:00,2021-10-28 08:45:00,BUY,1.1594,1.1580000000000001,1.1637,3,EURUSD
2021-10-08 12:00:00,2021-10-08 08:15:00,SELL,0.9301,0.9308,0.928,3,USDCHF
2021-11-02 09:45:00,2021-11-02 09:00:00,SELL,0.9116,0.9124,0.9094,-1,USDCHF
2021-11-02 14:00:00,2021-11-02 09:00:00,BUY,1.1595,1.1583,1.1632,-1,EURUSD
2022-03-16 14:30:00,2022-03-16 14:00:00,SELL,0.9402,0.9414,0.9364,-1,USDCHF
2021-11-08 12:30:00,2021-11-08 09:00:00,SELL,1.157,1.1579,1.1543,-1,EURUSD
2022-05-06 19:15:00,2022-05-06 13:30:00,SELL,0.9864,0.9891,0.9783,-1,USDCHF
2021-11-08 12:30:00,2021-11-08 09:00:00,SELL,1.157,1.1579,1.1543,-1,EURUSD
2022-05-10 08:45:00,2022-05-10 08:15:00,SELL,0.9926,0.9938,0.9889,-1,USDCHF
2021-11-08 15:00:00,2021-11-08 08:15:00,BUY,1.1556,1.1547,1.1583,3,EURUSD
2022-05-18 13:30:00,2022-05-18 13:00:00,BUY,0.9972,0.9961,1.0006,-1,USDCHF
2021-12-22 14:15:00,2021-12-21 15:00:00,BUY,1.1273,1.1259000000000001,1.1316,3,EURUSD
2022-05-26 10:30:00,2022-05-26 10:00:00,BUY,0.9597,0.9588,0.9622,-1,USDCHF
2022-01-17 11:30:00,2022-01-17 09:45:00,BUY,1.1425,1.1414,1.1459,-1,EURUSD
2022-06-27 09:15:00,2022-06-27 08:30:00,SELL,0.9576,0.9587,0.9541,-1,USDCHF
2022-01-20 11:00:00,2022-01-20 09:45:00,BUY,1.1349,1.1340000000000001,1.1377,-1,EURUSD
