,Datetime,LastFractalHigh,LastFractalLow
0,2023-08-07 18:00:00,1.2789523601531982,1.2685
1,2023-08-08 10:00:00,1.2789523601531982,1.26850426197052
2,2023-08-09 06:00:00,1.277955174446106,1.26850426197052
3,2023-08-10 10:00:00,1.281164288520813,1.26850426197052
4,2023-08-10 22:00:00,1.281164288520813,1.2666724920272827
5,2023-08-11 10:00:00,1.2737717628479004,1.2666724920272827
6,2023-08-14 10:00:00,1.2714558839797974,1.2666724920272827
7,2023-08-14 14:00:00,1.2714558839797974,1.2619092464447021
8,2023-08-15 14:00:00,1.2752825021743774,1.2619092464447021
9,2023-08-16 02:00:00,1.2752825021743774,1.2689067125320435
10,2023-08-16 10:00:00,1.2766011953353882,1.2689067125320435
11,2023-08-17 10:00:00,1.2766011953353882,1.270405888557434
12,2023-08-17 14:00:00,1.2787723541259766,1.270405888557434
13,2023-08-18 02:00:00,1.2765686511993408,1.270405888557434
