timestamp,Open,High,Low,Close,Volume,Fractal,Bar
2023-08-24 02:00:00,1.27196,1.27268,1.27196,1.27251,6848849.9813,,Green
2023-08-24 06:00:00,1.27252,1.27279,1.26692,1.26708,21265769.9586,,Red
2023-08-24 10:00:00,1.26707,1.26928,1.26261,1.26452,23117279.9728,,Red
2023-08-24 14:00:00,1.26453,1.26625,1.26048,1.26116,20206510.0474,,Red
2023-08-24 18:00:00,1.26117,1.26189,1.25906,1.2604,11659979.9845,,Red
2023-08-24 22:00:00,1.26037,1.26038,1.25793,1.25813,12863059.9571,,Red
2023-08-25 02:00:00,1.25813,1.25813,1.25596,1.25777,15298009.9959,fractal_low,Red
2023-08-25 06:00:00,1.25779,1.25936,1.25604,1.2585,17033090.0139,,Green
2023-08-25 10:00:00,1.25847,1.26239,1.25843,1.26075,20930269.9717,,Green
2023-08-25 14:00:00,1.26077,1.26539,1.25476,1.25876,46839189.8709,fractal_high,Red
2023-08-25 18:00:00,1.25878,1.26012,1.25723,1.25723,8924280.0286,,Red
2023-08-27 18:00:00,1.25809,1.25829,1.25756,1.25798,3550780.0209000004,,Red
2023-08-27 22:00:00,1.25798,1.26039,1.25774,1.25944,16763809.9464,,Green
2023-08-28 02:00:00,1.25945,1.2608,1.25921,1.25999,17191120.0347,,Green
2023-08-28 06:00:00,1.25997,1.26105,1.25653,1.25761,20542600.0424,fractal_high,Red
2023-08-28 10:00:00,1.25763,1.25974,1.25722,1.25911,19966469.9545,,Green
2023-08-28 14:00:00,1.25912,1.26014,1.25724,1.25964,30400449.999,,Green
2023-08-28 18:00:00,1.25961,1.26072,1.2593,1.26001,9685209.9346,,Green
2023-08-28 22:00:00,1.26001,1.26265,1.25985,1.26244,18075180.023,,Green
2023-08-29 02:00:00,1.26244,1.26318,1.26174,1.26226,20623720.0125,,Red
2023-08-29 06:00:00,1.26225,1.26354,1.26023,1.26152,19405869.9912,fractal_high,Red
2023-08-29 10:00:00,1.26152,1.26165,1.25624,1.25753,26989870.0181,fractal_low,Red
2023-08-29 14:00:00,1.25753,1.26386,1.25752,1.26312,39702849.8747,,Green
2023-08-29 18:00:00,1.26309,1.26547,1.26203,1.26447,12303000.0228,fractal_high,Green
2023-08-29 22:00:00,1.26443,1.26494,1.26274,1.26281,13023250.025799999,,Red
2023-08-30 02:00:00,1.26282,1.26312,1.26184,1.26243,18859789.9303,fractal_low,Red
2023-08-30 06:00:00,1.26243,1.26696,1.26197,1.26581,26302940.0045,,Green
2023-08-30 10:00:00,1.26584,1.27414,1.26423,1.27398,36941150.0109,,Green
2023-08-30 14:00:00,1.27397,1.2746,1.27103,1.27136,28301379.9631,fractal_high,Red
2023-08-30 18:00:00,1.27135,1.27221,1.27064,1.27188,19182310.0203,,Green
2023-08-30 22:00:00,1.27197,1.2734,1.27104,1.27241,17890629.9672,,Green
2023-08-31 02:00:00,1.27242,1.27261,1.27152,1.27157,15688739.9936,,Red
2023-08-31 06:00:00,1.27157,1.27214,1.26751,1.2686,25664399.9215,,Red
2023-08-31 10:00:00,1.26862,1.26962,1.26605,1.26752,32432790.0544,,Red
2023-08-31 14:00:00,1.26754,1.26774,1.26522,1.26655,27838600.011,fractal_low,Red
2023-08-31 18:00:00,1.26656,1.2674,1.26619,1.26714,12752710.0401,,Green
2023-08-31 22:00:00,1.26716,1.26832,1.26581,1.26729,20290939.9379,fractal_high,Green
2023-09-01 02:00:00,1.2673,1.26767,1.26587,1.26652,10293840.016,,Red
2023-09-01 06:00:00,1.26653,1.26892,1.26399,1.26775,18313699.992,fractal_low,Green
2023-09-01 10:00:00,1.26773,1.27127,1.26601,1.26718,36274530.0065,fractal_high,Red
2023-09-01 14:00:00,1.26716,1.26718,1.2577,1.2596,33301260.1321,fractal_low,Red
2023-09-01 18:00:00,1.2596,1.2596,1.25831,1.25831,7550220.0005,,Red
2023-09-03 18:00:00,1.25893,1.25917,1.25872,1.25881,291709.9998,,Red
2023-09-03 22:00:00,1.25881,1.26008,1.25859,1.25913,14547340.0568,,Green
2023-09-04 02:00:00,1.25914,1.26133,1.25913,1.26094,12775459.9899,,Green
2023-09-04 06:00:00,1.26096,1.26368,1.26051,1.26292,15674689.9643,,Green
2023-09-04 10:00:00,1.26293,1.26423,1.2621,1.26265,12317529.9647,fractal_high,Red
2023-09-04 14:00:00,1.26263,1.26322,1.26147,1.26295,8535780.0231,,Green
2023-09-04 18:00:00,1.26297,1.26328,1.2616,1.26275,3821500.0075,,Red
2023-09-04 22:00:00,1.26275,1.26316,1.26167,1.26211,9701730.0139,,Red
2023-09-05 02:00:00,1.26211,1.2628,1.26118,1.26126,12367919.9907,,Red
2023-09-05 06:00:00,1.26127,1.26133,1.25276,1.25513,29548760.0555,fractal_low,Red
2023-09-05 10:00:00,1.2551,1.25824,1.25389,1.25609,31340629.8856,,Green
2023-09-05 14:00:00,1.2561,1.25868,1.25468,1.25658,31136399.9804,,Green
2023-09-05 18:00:00,1.25659,1.25727,1.25583,1.25656,10226830.0029,,Red
2023-09-05 22:00:00,1.25655,1.25725,1.25494,1.25502,12684569.9954,,Red
2023-09-06 02:00:00,1.255,1.25876,1.2549,1.25873,12645499.999,fractal_high,Green
2023-09-06 06:00:00,1.25872,1.25873,1.25453,1.25523,26825929.9525,,Red
2023-09-06 10:00:00,1.25523,1.2567,1.25208,1.25294,27111240.014,,Red
2023-09-06 14:00:00,1.25298,1.25298,1.24815,1.25069,29468380.054899998,fractal_low,Red
2023-09-06 18:00:00,1.25068,1.25101,1.24983,1.25013,8144010.0034,,Red
2023-09-06 22:00:00,1.25014,1.25054,1.24906,1.24993,17666600.0325,,Red
2023-09-07 02:00:00,1.24992,1.25059,1.24927,1.24958,10406340.0195,,Red
2023-09-07 06:00:00,1.24958,1.25079,1.24572,1.24691,22531379.9764,fractal_high,Red
2023-09-07 10:00:00,1.24693,1.2474,1.24455,1.24547,25474860.0007,fractal_low,Red
2023-09-07 14:00:00,1.24547,1.24896,1.24468,1.24746,24195510.0116,,Green
2023-09-07 18:00:00,1.24744,1.24795,1.24675,1.24712,8372519.9947999995,,Red
2023-09-07 22:00:00,1.24708,1.24962,1.24677,1.24931,14100929.9887,,Green
2023-09-08 02:00:00,1.2493,1.25049,1.24893,1.25033,13132160.0186,,Green
2023-09-08 06:00:00,1.25032,1.25097,1.24743,1.24825,29281979.9653,fractal_high,Red
2023-09-08 10:00:00,1.24826,1.24982,1.24667,1.24952,21946200.0734,,Green
2023-09-08 14:00:00,1.24952,1.2514,1.24571,1.24644,25099559.9642,fractal_high,Red
2023-09-08 18:00:00,1.24645,1.24677,1.24508,1.24652,11846489.952300001,fractal_low,Green
2023-09-10 18:00:00,1.24922,1.24922,1.24661,1.24746,430132.5024,,Red
2023-09-10 22:00:00,1.24746,1.24963,1.24693,1.24952,20522309.9298,,Green
2023-09-11 02:00:00,1.24952,1.2527,1.24929,1.25131,27544299.986500002,,Green
2023-09-11 06:00:00,1.25134,1.2537,1.25097,1.25331,20549439.9318,,Green
2023-09-11 10:00:00,1.25332,1.25433,1.25006,1.25289,21773660.0381,,Red
2023-09-11 14:00:00,1.25289,1.25477,1.25113,1.25126,23835980.0353,fractal_high,Red
2023-09-11 18:00:00,1.25125,1.25185,1.25071,1.25114,12610530.052000001,,Red
2023-09-11 22:00:00,1.25113,1.25231,1.25007,1.25055,14951479.961,fractal_low,Red
2023-09-12 02:00:00,1.25055,1.2518,1.25029,1.25078,13351260.0003,,Green
2023-09-12 06:00:00,1.25079,1.25298,1.24626,1.24701,24926180.0233,fractal_high,Red
2023-09-12 10:00:00,1.24698,1.24835,1.24592,1.24691,21686099.9593,fractal_low,Red
2023-09-12 14:00:00,1.2469,1.24912,1.24632,1.24774,15130880.0088,,Green
2023-09-12 18:00:00,1.24774,1.24985,1.24757,1.2488,10628430.0052,,Green
2023-09-12 22:00:00,1.24882,1.2502,1.24868,1.24909,13657720.0648,fractal_high,Green
2023-09-13 02:00:00,1.24911,1.24978,1.24807,1.24863,12999060.0175,,Red
2023-09-13 06:00:00,1.24869,1.24873,1.2441,1.24633,30401999.9868,,Red
2023-09-13 10:00:00,1.24634,1.25114,1.24339,1.2497,43750309.9631,fractal_high,Green
2023-09-13 14:00:00,1.24967,1.2506,1.24794,1.25021,22978850.0172,,Green
2023-09-13 18:00:00,1.25021,1.25041,1.24807,1.24893,11126809.978,,Red
2023-09-13 22:00:00,1.24892,1.25039,1.24844,1.24941,23927140.0944,,Green
2023-09-14 02:00:00,1.2494,1.25058,1.24849,1.24986,22736920.0289,fractal_high,Green
2023-09-14 06:00:00,1.24987,1.24988,1.24685,1.24743,17491889.9801,,Red
2023-09-14 10:00:00,1.2474,1.24801,1.24138,1.24214,51945720.0832,,Red
2023-09-14 14:00:00,1.24215,1.24321,1.2396,1.24013,27067669.9847,fractal_low,Red
2023-09-14 18:00:00,1.24012,1.24121,1.23974,1.24081,10347300.0439,,Green
2023-09-14 22:00:00,1.24082,1.24124,1.23992,1.24118,22995870.0407,,Green
2023-09-15 02:00:00,1.2412,1.24297,1.24107,1.24276,21923660.0313,,Green
2023-09-15 06:00:00,1.24273,1.24455,1.24157,1.24306,20704589.9552,,Green
2023-09-15 10:00:00,1.24308,1.24339,1.23886,1.23933,22498589.9915,,Red
2023-09-15 14:00:00,1.23942,1.2425,1.23847,1.23931,30574109.8767,,Red
2023-09-15 18:00:00,1.2393,1.23941,1.23765,1.23765,11610360.035,,Red
