Date,Time,Currency,Name,,,,,
2020-02-03 00:00:00,15:00,USD,ISM Manufacturing PMI,50.9,48.5,47.2,,111389
2020-02-04 00:00:00,03:30,AUD,Cash Rate,0.75%,0.75%,0.75%,,112777
2020-02-04 00:00:00,03:30,AUD,RBA Rate Statement,,,,,112788
2020-02-04 00:00:00,21:45,NZD,Employment Change q/q,0.0%,0.3%,0.2%,,113463
2020-02-04 00:00:00,21:45,NZD,Unemployment Rate,4.0%,4.2%,4.1%,4.2%,113464
2020-02-05 00:00:00,01:30,AUD,RBA Gov Lowe Speaks,,,,,115911
2020-02-05 00:00:00,02:00,USD,President Trump Speaks,,,,,115918
2020-02-05 00:00:00,12:15,EUR,ECB President Lagarde Speaks,,,,,115917
2020-02-05 00:00:00,13:15,USD,ADP Non-Farm Employment Change,291K,157K,199K,202K,111103
2020-02-05 00:00:00,15:00,USD,ISM Services PMI,55.5,55.1,55.0,,111500
2020-02-06 00:00:00,00:30,AUD,Retail Sales m/m,-0.5%,-0.2%,1.0%,0.9%,114661
2020-02-06 00:00:00,00:30,AUD,Trade Balance,5.22B,5.65B,5.52B,5.80B,114673
2020-02-06 00:00:00,08:00,EUR,ECB President Lagarde Speaks,,,,,115909
2020-02-06 00:00:00,22:30,AUD,RBA Gov Lowe Speaks,,,,,115912
2020-02-07 00:00:00,00:30,AUD,RBA Monetary Policy Statement,,,,,114528
2020-02-07 00:00:00,02:00,NZD,Inflation Expectations q/q,1.93%,,1.80%,,113377
2020-02-07 00:00:00,13:30,CAD,Employment Change,34.5K,16.3K,35.2K,,111278
2020-02-07 00:00:00,13:30,CAD,Unemployment Rate,5.5%,5.7%,5.6%,,111277
2020-02-07 00:00:00,13:30,USD,Average Hourly Earnings m/m,0.2%,0.3%,0.1%,,111068
2020-02-07 00:00:00,13:30,USD,Non-Farm Employment Change,225K,163K,147K,145K,111070
2020-02-07 00:00:00,13:30,USD,Unemployment Rate,3.6%,3.5%,3.5%,,111069
2020-02-11 00:00:00,09:30,GBP,Prelim GDP q/q,0.0%,0.0%,0.4%,0.3%,112556
