"2022.01.02","20:00","NZD","N","Bank Holiday","","","","","121987"
"2022.01.02","21:00","AUD","N","Bank Holiday","","","","","121977"
"2022.01.03","00:00","JPY","N","Bank Holiday","","","","","126589"
"2022.01.03","00:01","CNY","N","Bank Holiday","","","","","126623"
"2022.01.03","07:03","EUR","N","Italian Bank Holiday","","","","","126579"
"2022.01.03","08:00","GBP","N","Bank Holiday","","","","","126556"
"2022.01.03","08:15","EUR","L","Spanish Manufacturing PMI","56.2","56.3","57.1","","122361"
"2022.01.03","08:30","CHF","L","Manufacturing PMI","62.7","61.2","62.5","","122362"
"2022.01.03","08:45","EUR","L","Italian Manufacturing PMI","62.0","61.6","62.8","","122363"
"2022.01.03","08:50","EUR","L","French Final Manufacturing PMI","55.6","54.9","54.9","","122364"
"2022.01.03","08:55","EUR","L","German Final Manufacturing PMI","57.4","57.9","57.9","","122365"
"2022.01.03","08:55","EUR","L","German Unemployment Change","","","","","125574"
"2022.01.03","09:00","EUR","L","Final Manufacturing PMI","58.0","58.0","58.0","","122366"
"2022.01.03","13:00","CAD","N","Bank Holiday","","","","","121966"
"2022.01.03","13:00","USD","N","Bank Holiday","","","","","121955"
"2022.01.03","14:45","USD","L","Final Manufacturing PMI","57.7","57.7","57.8","","123149"
"2022.01.03","15:00","USD","L","Construction Spending m/m","0.4%","0.8%","0.4%","0.2%","124192"
"2022.01.03","20:00","NZD","N","Bank Holiday","","","","","121988"
"2022.01.04","00:01","GBP","L","BRC Shop Price Index y/y","0.8%","","0.3%","","120029"
"2022.01.04","00:30","JPY","L","Final Manufacturing PMI","54.3","54.3","54.2","","126954"
"2022.01.04","01:45","CNY","L","Caixin Manufacturing PMI","50.9","50.1","49.9","","123593"
"2022.01.04","05:30","AUD","L","Commodity Prices y/y","25.7%","","36.7%","36.2%","124873"
"2022.01.04","07:00","EUR","L","German Retail Sales m/m","0.6%","-0.2%","0.5%","-0.3%","125492"
"2022.01.04","07:30","CHF","L","CPI m/m","-0.1%","-0.1%","0.0%","","125117"
"2022.01.04","07:45","EUR","L","French Prelim CPI m/m","0.2%","0.3%","0.4%","","117059"
"2022.01.04","08:02","EUR","M","Spanish Unemployment Change","-76.8K","-32.5K","-74.4K","","122623"
"2022.01.04","08:55","EUR","L","German Unemployment Change","-23K","-15K","-34K","","125491"
"2022.01.04","09:30","GBP","L","Final Manufacturing PMI","57.9","57.6","57.6","","122367"
"2022.01.04","09:30","GBP","L","M4 Money Supply m/m","0.7%","0.5%","0.6%","","124380"
"2022.01.04","09:30","GBP","L","Mortgage Approvals","67K","66K","67K","","124382"
"2022.01.04","09:32","GBP","L","Net Lending to Individuals m/m","4.9B","3.9B","2.0B","2.3B","124381"
"2022.01.04","10:15","All","H","OPEC-JMMC Meetings","","","","","122678"
"2022.01.04","13:30","CAD","L","IPPI m/m","0.8%","0.9%","1.3%","","125997"
"2022.01.04","13:30","CAD","L","RMPI m/m","-1.0%","0.0%","4.8%","","125996"
"2022.01.04","14:30","CAD","L","Manufacturing PMI","56.5","","57.2","","123304"
"2022.01.04","14:34","NZD","L","GDT Price Index","0.3%","","-1.5%","","123204"
"2022.01.04","15:00","USD","H","ISM Manufacturing PMI","58.7","60.0","61.1","","123113"
"2022.01.04","15:00","USD","H","JOLTS Job Openings","10.56M","11.06M","11.09M","11.03M","126179"
"2022.01.04","15:00","USD","L","ISM Manufacturing Prices","68.2","79.3","82.4","","123127"
"2022.01.04","15:15","USD","L","Wards Total Vehicle Sales","12.4M","13.1M","12.9M","","123897"
"2022.01.04","23:50","JPY","L","Monetary Base y/y","8.3%","9.5%","9.3%","","126955"
"2022.01.05","00:30","AUD","L","ANZ Job Advertisements m/m","-5.5%","","9.9%","7.4%","123418"
"2022.01.05","03:35","JPY","L","10-y Bond Auction","0.10|3.5","","0.06|3.2","","126956"
"2022.01.05","05:00","JPY","L","Consumer Confidence","39.1","39.8","39.2","","126805"
"2022.01.05","08:15","EUR","L","Spanish Services PMI","55.8","57.3","59.8","","122368"
"2022.01.05","08:45","EUR","L","Italian Services PMI","53.0","53.9","55.9","","122369"
"2022.01.05","08:50","EUR","L","French Final Services PMI","57.0","57.1","57.1","","122370"
"2022.01.05","08:55","EUR","L","German Final Services PMI","48.7","48.4","48.4","","122371"
"2022.01.05","09:00","EUR","L","Final Services PMI","53.1","53.3","53.3","","122372"
"2022.01.05","10:00","EUR","L","Italian Prelim CPI m/m","0.4%","0.3%","0.6%","0.7%","116982"
"2022.01.05","10:33","EUR","L","German 10-y Bond Auction","-0.09|1.5","","-0.38|1.3","","126957"
"2022.01.05","13:15","USD","H","ADP Non-Farm Employment Change","807K","405K","505K","534K","124054"
"2022.01.05","13:30","CAD","M","Building Permits m/m","6.8%","2.1%","2.4%","1.3%","125705"
"2022.01.05","13:30","CAD","L","NHPI m/m","0.8%","0.7%","0.9%","","117901"
"2022.01.05","14:45","USD","L","Final Services PMI","57.6","57.5","57.5","","123161"
"2022.01.05","15:30","USD","L","Crude Oil Inventories","-2.1M","-3.5M","-3.6M","","122183"
"2022.01.05","19:00","USD","H","FOMC Meeting Minutes","","","","","123048"
"2022.01.06","01:45","CNY","L","Caixin Services PMI","53.1","51.9","52.1","","123594"
"2022.01.06","07:00","EUR","L","German Factory Orders m/m","3.7%","2.1%","-5.8%","-6.9%","125493"
"2022.01.06","07:03","EUR","N","Italian Bank Holiday","","","","","126580"
"2022.01.06","07:29","EUR","L","German Prelim CPI m/m","0.5%","0.4%","-0.2%","","125494"
"2022.01.06","09:30","GBP","L","Final Services PMI","53.6","53.2","53.2","","122373"
