"2023.01.05","23:30","JPY","L","Average Cash Earnings y/y","0.5%","1.7%","1.4%","1.8%","128870"
"2023.01.06","07:00","EUR","L","German Factory Orders m/m","-5.3%","-0.5%","0.6%","0.8%","132103"
"2023.01.06","07:00","EUR","L","German Retail Sales m/m","1.1%","1.5%","-2.8%","","133744"
"2023.01.06","07:00","GBP","L","Halifax HPI m/m","-1.5%","-0.6%","-2.4%","-2.3%","133320"
"2023.01.06","07:03","EUR","N","Italian Bank Holiday","","","","","133746"
"2023.01.06","07:36","CHF","L","Retail Sales y/y","-1.3%","-1.0%","-2.6%","-2.5%","133745"
"2023.01.06","07:45","EUR","L","French Consumer Spending m/m","0.5%","1.0%","-2.7%","-2.8%","125015"
"2023.01.06","09:30","GBP","L","Construction PMI","48.8","50.6","50.4","","129232"
"2023.01.06","10:00","EUR","M","Core CPI Flash Estimate y/y","5.2%","5.1%","5.0%","","132642"
"2023.01.06","10:00","EUR","M","CPI Flash Estimate y/y","9.2%","9.6%","10.1%","10.0%","132641"
"2023.01.06","10:00","EUR","L","Retail Sales m/m","0.8%","0.5%","-1.5%","-1.8%","132690"
"2023.01.06","13:30","CAD","H","Employment Change","104.0K","5.5K","10.1K","","132518"
"2023.01.06","13:30","CAD","H","Unemployment Rate","5.0%","5.2%","5.1%","","132517"
"2023.01.06","13:30","USD","H","Average Hourly Earnings m/m","0.3%","0.4%","0.4%","0.6%","129722"
"2023.01.06","13:30","USD","H","Non-Farm Employment Change","223K","200K","256K","263K","129724"
"2023.01.06","13:30","USD","H","Unemployment Rate","3.5%","3.7%","3.7%","","129723"
"2023.01.06","15:00","CAD","M","Ivey PMI","33.4","51.0","51.4","","130644"
"2023.01.06","15:00","USD","H","ISM Services PMI","49.6","55.0","56.5","","130052"
"2023.01.06","15:00","USD","L","Factory Orders m/m","-1.8%","-0.9%","0.4%","1.0%","129899"
"2023.01.06","16:15","USD","L","FOMC Member Cook Speaks","","","","","133782"
"2023.01.07","16:15","GBP","L","MPC Member Mann Speaks","","","","","133766"
"2023.01.08","13:00","GBP","L","MPC Member Pill Speaks","","","","","133783"
"2023.01.09","00:00","JPY","N","Bank Holiday","","","","","133650"
"2023.01.09","00:30","AUD","L","Building Approvals m/m","-9.0%","0.1%","-5.6%","-6.0%","131114"
"2023.01.09","06:45","CHF","L","Unemployment Rate","1.9%","2.1%","2.0%","","131343"
"2023.01.09","07:00","EUR","L","German Industrial Production m/m","0.2%","0.2%","-0.4%","-0.1%","132104"
"2023.01.09","07:45","EUR","L","French Trade Balance","-13.8B","-11.3B","-11.6B","-12.2B","131939"
"2023.01.09","08:00","CHF","L","Foreign Currency Reserves","784B","","790B","","129627"
"2023.01.09","09:00","EUR","L","Italian Monthly Unemployment Rate","7.8%","7.8%","7.9%","7.8%","122530"
"2023.01.09","09:30","EUR","L","Sentix Investor Confidence","-17.5","-18.1","-21.0","","132181"
"2023.01.09","10:00","EUR","L","Unemployment Rate","6.5%","6.5%","6.5%","","132738"
"2023.01.09","13:30","CAD","L","Building Permits m/m","14.1%","0.4%","-5.3%","-1.4%","132363"
"2023.01.09","15:30","GBP","L","MPC Member Pill Speaks","","","","","133790"
"2023.01.09","20:00","USD","L","Consumer Credit m/m","28.0B","25.0B","29.1B","27.1B","129610"
"2023.01.09","23:30","JPY","L","Household Spending y/y","-1.2%","0.6%","1.2%","","128954"
"2023.01.09","23:30","JPY","L","Tokyo Core CPI y/y","4.0%","3.8%","3.6%","","125911"
"2023.01.10","00:01","GBP","L","BRC Retail Sales Monitor y/y","6.5%","2.4%","4.1%","","133356"
"2023.01.10","07:45","EUR","L","French Industrial Production m/m","2.0%","0.9%","-2.5%","-2.6%","129273"
"2023.01.10","09:05","CNY","L","M2 Money Supply y/y","11.8%","12.4%","12.4%","","131517"
"2023.01.10","09:05","CNY","L","New Loans","1400B","1150B","1210B","","131518"
