Close Datetime,total_return,drawdown,num_trades
2020-09-30,-1,1,1
2020-10-31,-1,1,1
2020-11-30,3,0,1
2020-12-31,2,1,2
2021-01-31,1,2,3
2021-02-28,0,0,0
2021-03-31,-1,3,5
2021-04-30,-5,5,9
2021-05-31,-2,2,2
2021-06-30,0,2,4
2021-07-31,-4,4,4
2021-08-31,-4,4,4
2021-09-30,-1,1,1
2021-10-31,1,2,3
2021-11-30,0,0,0
2021-12-31,1,1,3
2022-01-31,-3,3,3
2022-02-28,-2,2,2
2022-03-31,2,3,6
2022-04-30,0,0,0
2022-05-31,0,0,0
2022-06-30,-1,1,1
2022-07-31,0,0,0
2022-08-31,3,2,5
2022-09-30,2,4,6
2022-10-31,-3,3,3
2022-11-30,-2,2,2
2022-12-31,1,1,3
2023-01-31,-1,1,1
2023-02-28,-2,2,2
2023-03-31,1,1,3
2023-04-30,-2,5,6
2023-05-31,2,1,2
2023-06-30,0,0,0
2023-07-31,0,2,4
2023-08-31,4,3,8
2023-09-30,-1,1,1
