,Date,Payout,Deficit
0,2022-09-01 08:00:00,4707.280000000001,
1,2022-10-01 08:00:00,,458.48
2,2022-11-01 08:00:00,,1553.44
3,2022-12-01 08:00:00,,914.87
4,2023-01-01 08:00:00,,272.15
5,2023-02-01 08:00:00,1192.912,
6,2023-03-01 08:00:00,1414.48,
7,2023-04-01 08:00:00,3775.496,
8,2023-05-01 08:00:00,149.752,
9,2023-06-01 08:00:00,518.92,
10,2023-07-01 08:00:00,2320.0,
11,2023-08-01 08:00:00,2320.0,
12,2023-09-01 08:00:00,,1553.44
