Datetime,H4_high,H4_low,Last_Fractal_High,Last_Fractal_Low,Directional_bias,Bar_High,Bar_Low,result
2022-07-26 18:00:00,1.01506,1.0117,1.01506,1.02085,1,1.01298,1.0117,1
2022-07-26 18:00:00,1.01506,1.0117,1.01298,1.02085,1,1.01298,1.0117,1
2022-07-27 06:00:00,1.01587,1.01409,1.01298,1.02085,-1,1.01587,1.01409,-1
2022-07-27 06:00:00,1.01587,1.01409,1.01587,1.02085,-1,1.01587,1.01409,-1
2022-07-27 10:00:00,1.01587,1.01382,1.01587,1.02085,-1,1.01441,1.01382,-1
2022-07-27 10:00:00,1.01587,1.01382,1.01587,1.01382,-1,1.01441,1.01382,-1
2022-07-27 14:00:00,1.01587,1.01228,1.01587,1.01382,1,1.01403,1.01228,-1
2022-07-27 18:00:00,1.01587,1.01213,1.01587,1.01382,1,1.01538,1.01213,1
2022-07-27 22:00:00,1.02027,1.01382,1.01587,1.01382,2,1.02027,1.0195,1
2022-07-27 22:00:00,1.02027,1.01382,1.02027,1.01382,2,1.02027,1.0195,1
2022-07-28 02:00:00,1.02067,1.01382,1.02027,1.01382,-1,1.02067,1.01959,1
2022-07-28 02:00:00,1.02067,1.01382,1.02027,1.01959,-1,1.02067,1.01959,1
2022-07-28 06:00:00,1.0228,1.01959,1.02027,1.01959,-1,1.0228,1.02169,-1
2022-07-28 10:00:00,1.02027,1.01496,1.02027,1.01959,-1,1.01656,1.01496,-1
2022-07-28 14:00:00,1.02027,1.01388,1.02027,1.01959,1,1.01564,1.01388,1
2022-07-29 06:00:00,1.02256,1.01959,1.02027,1.01959,1,1.02256,1.02096,-1
2022-07-29 06:00:00,1.02256,1.01959,1.02027,1.02096,1,1.02256,1.02096,-1
2022-07-29 14:00:00,1.02027,1.01525,1.02027,1.02096,1,1.01726,1.01525,1
2022-07-29 18:00:00,1.02135,1.02073,1.02027,1.02096,2,1.02135,1.02073,1
2022-07-31 22:00:00,1.0224,1.02096,1.02027,1.02096,2,1.0224,1.02123,1
2022-07-31 22:00:00,1.0224,1.02096,1.0224,1.02096,2,1.0224,1.02123,1
2022-08-01 02:00:00,1.02374,1.02096,1.0224,1.02096,2,1.02374,1.02315,1
2022-08-01 10:00:00,1.02673,1.02096,1.0224,1.02096,2,1.02673,1.02565,1
2022-08-01 14:00:00,1.02673,1.02096,1.0224,1.02333,2,1.02657,1.02333,1
2022-08-01 18:00:00,1.02673,1.02096,1.02621,1.02333,2,1.02621,1.02546,1
2022-08-01 22:00:00,1.02673,1.02096,1.02621,1.0258,2,1.0261,1.0258,1
2022-08-02 02:00:00,1.02717,1.0258,1.02621,1.0258,2,1.02717,1.02609,-1
2022-08-02 02:00:00,1.02717,1.0258,1.02621,1.02609,2,1.02717,1.02609,-1
2022-08-02 06:00:00,1.02675,1.02576,1.02621,1.02609,-1,1.02675,1.02576,-1
2022-08-02 10:00:00,1.02621,1.023,1.02621,1.02609,-1,1.02391,1.023,-1
2022-08-02 10:00:00,1.02621,1.023,1.02621,1.023,-1,1.02391,1.023,-1
2022-08-02 14:00:00,1.02621,1.0181,1.02621,1.023,-2,1.02091,1.0181,-1
2022-08-02 14:00:00,1.02621,1.0181,1.02621,1.0181,-2,1.02091,1.0181,-1
2022-08-02 18:00:00,1.02621,1.0176,1.02621,1.0181,-2,1.01843,1.0176,-1
2022-08-02 22:00:00,1.02621,1.0163,1.02621,1.0181,-2,1.01713,1.0163,-1
2022-08-02 22:00:00,1.02621,1.0163,1.02621,1.0163,-2,1.01713,1.0163,-1
2022-08-03 10:00:00,1.02621,1.0163,1.02002,1.0163,-2,1.02002,1.01862,-1
2022-08-03 14:00:00,1.02002,1.01352,1.02002,1.0163,1,1.01696,1.01352,1
2022-08-03 22:00:00,1.02002,1.01352,1.01707,1.0163,1,1.01707,1.0156,1
2022-08-04 14:00:00,1.0202,1.0163,1.01707,1.0163,1,1.0202,1.0186,1
2022-08-04 14:00:00,1.0202,1.0163,1.0202,1.0163,1,1.0202,1.0186,1
2022-08-04 18:00:00,1.02439,1.0163,1.0202,1.0163,1,1.02439,1.02363,1
2022-08-04 22:00:00,1.02478,1.0163,1.0202,1.0163,-1,1.02478,1.02427,1
2022-08-04 22:00:00,1.02478,1.0163,1.0202,1.02427,-1,1.02478,1.02427,1
2022-08-05 02:00:00,1.02478,1.0163,1.0202,1.02294,-1,1.02346,1.02294,1
2022-08-05 18:00:00,1.02478,1.0163,1.0202,1.0172,-1,1.01833,1.0172,1
2022-08-08 18:00:00,1.02478,1.0163,1.02054,1.0172,-1,1.02054,1.01925,1
2022-08-09 18:00:00,1.02478,1.0163,1.02171,1.0172,-1,1.02171,1.02141,1
2022-08-09 22:00:00,1.02478,1.0163,1.02171,1.02108,-1,1.02135,1.02108,1
2022-08-10 14:00:00,1.03385,1.02108,1.02171,1.02108,-1,1.03385,1.03178,1
2022-08-10 22:00:00,1.03385,1.02108,1.03046,1.02108,-1,1.03046,1.02992,1
2022-08-11 10:00:00,1.03394,1.02108,1.03046,1.02108,-1,1.03394,1.03323,1
2022-08-11 14:00:00,1.0361,1.02108,1.03046,1.02108,-1,1.0361,1.03442,-1
2022-08-12 10:00:00,1.0361,1.02108,1.03046,1.02871,-1,1.02987,1.02871,-1
2022-08-12 18:00:00,1.0361,1.02108,1.03046,1.02595,-1,1.02663,1.02595,-1
2022-08-15 10:00:00,1.03046,1.01985,1.03046,1.02595,-2,1.02069,1.01985,-1
2022-08-15 10:00:00,1.03046,1.01985,1.02069,1.02595,-2,1.02069,1.01985,-1
2022-08-15 14:00:00,1.02069,1.01904,1.02069,1.02595,-2,1.02007,1.01904,-1
2022-08-15 18:00:00,1.02069,1.01556,1.02069,1.02595,-2,1.01652,1.01556,-1
2022-08-16 06:00:00,1.02069,1.01556,1.01687,1.02595,-2,1.01687,1.01617,-1
2022-08-16 10:00:00,1.01687,1.01332,1.01687,1.02595,-2,1.01422,1.01332,1
2022-08-16 10:00:00,1.01687,1.01332,1.01422,1.02595,-2,1.01422,1.01332,1
2022-08-16 14:00:00,1.01763,1.0165,1.01422,1.02595,1,1.01763,1.0165,1
2022-08-16 18:00:00,1.01798,1.01734,1.01422,1.02595,1,1.01798,1.01734,-1
2022-08-16 22:00:00,1.01704,1.01674,1.01422,1.02595,1,1.01704,1.01674,1
2022-08-17 02:00:00,1.01792,1.01711,1.01422,1.02595,1,1.01792,1.01711,1
2022-08-17 02:00:00,1.01792,1.01711,1.01792,1.02595,1,1.01792,1.01711,1
2022-08-17 06:00:00,1.01864,1.01714,1.01792,1.02595,-1,1.01864,1.01714,1
2022-08-17 06:00:00,1.01864,1.01714,1.01864,1.02595,-1,1.01864,1.01714,1
2022-08-17 14:00:00,1.01984,1.01665,1.01864,1.02595,1,1.01984,1.01665,-1
2022-08-17 14:00:00,1.01984,1.01665,1.01984,1.02595,1,1.01984,1.01665,-1
