Datetime,M15_high,M15_low,Last_Fractal_High,Last_Fractal_Low
2023-09-14 17:15:00,1.24604,1.24005,1.24321,1.24031
2023-09-14 17:30:00,1.24604,1.24005,1.242,1.24031
2023-09-14 17:45:00,1.24604,1.24005,1.242,1.24031
2023-09-14 18:00:00,1.24604,1.24005,1.242,1.24031
2023-09-14 18:15:00,1.24604,1.24005,1.242,1.24031
2023-09-14 18:30:00,1.24604,1.24005,1.242,1.24031
2023-09-14 18:45:00,1.242,1.2396,1.242,1.2396
2023-09-14 19:00:00,1.242,1.2396,1.242,1.2396
2023-09-14 19:15:00,1.242,1.2396,1.242,1.2396
2023-09-14 19:30:00,1.242,1.2396,1.242,1.2396
2023-09-14 19:45:00,1.242,1.2396,1.242,1.2396
2023-09-14 20:00:00,1.242,1.2396,1.242,1.2396
2023-09-14 20:15:00,1.242,1.2396,1.242,1.2396
2023-09-14 20:30:00,1.242,1.2396,1.242,1.2396
2023-09-14 20:45:00,1.242,1.2396,1.242,1.2396
2023-09-14 21:00:00,1.242,1.2396,1.242,1.2396
2023-09-14 21:15:00,1.242,1.2396,1.242,1.2396
2023-09-14 21:30:00,1.242,1.2396,1.24121,1.2396
2023-09-14 21:45:00,1.242,1.2396,1.24121,1.2396
2023-09-14 22:00:00,1.242,1.2396,1.24121,1.2396
2023-09-14 22:15:00,1.242,1.2396,1.24121,1.24042
2023-09-14 22:30:00,1.242,1.2396,1.24121,1.24042
2023-09-14 22:45:00,1.242,1.2396,1.24121,1.24042
2023-09-14 23:00:00,1.242,1.2396,1.24121,1.24042
2023-09-14 23:15:00,1.242,1.2396,1.24111,1.24042
2023-09-14 23:30:00,1.242,1.2396,1.24111,1.24042
2023-09-14 23:45:00,1.242,1.2396,1.24111,1.24042
2023-09-15 00:00:00,1.242,1.2396,1.24111,1.24042
2023-09-15 00:15:00,1.242,1.2396,1.24111,1.24042
2023-09-15 00:30:00,1.242,1.2396,1.24111,1.24042
2023-09-15 00:45:00,1.242,1.2396,1.24111,1.24042
2023-09-15 01:00:00,1.242,1.2396,1.24098,1.23992
2023-09-15 01:15:00,1.242,1.2396,1.24098,1.23992
2023-09-15 01:30:00,1.242,1.2396,1.24098,1.23992
2023-09-15 01:45:00,1.242,1.2396,1.24098,1.23992
2023-09-15 02:00:00,1.242,1.2396,1.24124,1.23992
2023-09-15 02:15:00,1.242,1.2396,1.24124,1.23992
2023-09-15 02:30:00,1.242,1.2396,1.24124,1.24011
2023-09-15 02:45:00,1.242,1.2396,1.24124,1.24011
2023-09-15 03:00:00,1.24215,1.24011,1.24215,1.24011
2023-09-15 03:15:00,1.24215,1.24011,1.24215,1.24011
2023-09-15 03:30:00,1.24215,1.24011,1.24215,1.24011
2023-09-15 03:45:00,1.24215,1.24011,1.24215,1.24011
2023-09-15 04:00:00,1.24215,1.24011,1.24215,1.24011
2023-09-15 04:15:00,1.24215,1.24011,1.24215,1.24011
2023-09-15 04:30:00,1.24215,1.24011,1.24215,1.24011
2023-09-15 04:45:00,1.24219,1.24011,1.24215,1.24011
2023-09-15 05:00:00,1.2424,1.24011,1.24215,1.24011
2023-09-15 05:15:00,1.2424,1.24011,1.24215,1.24011
2023-09-15 05:30:00,1.24284,1.24011,1.24215,1.24011
2023-09-15 05:45:00,1.24297,1.24011,1.24297,1.24011
2023-09-15 06:00:00,1.24297,1.24011,1.24297,1.24011
2023-09-15 06:15:00,1.24297,1.24011,1.24297,1.24011
2023-09-15 06:30:00,1.24297,1.24011,1.24297,1.24011
2023-09-15 06:45:00,1.24297,1.24011,1.24297,1.24205
2023-09-15 07:00:00,1.24297,1.24011,1.24297,1.24205
2023-09-15 07:15:00,1.24333,1.24205,1.24333,1.24205
2023-09-15 07:30:00,1.24333,1.24205,1.24333,1.24205
2023-09-15 07:45:00,1.24333,1.24205,1.24333,1.24205
2023-09-15 08:00:00,1.24333,1.24193,1.24333,1.24205
