,Datetime,M15_high,M15_low
0,2023-08-07 00:15:00,1.2749735116958618,0
1,2023-08-07 00:30:00,1.2752012014389038,0
2,2023-08-07 00:45:00,1.27524995803833,0
3,2023-08-07 01:00:00,1.2754939794540405,1.2745835781097412
4,2023-08-07 01:15:00,1.2758032083511353,1.2745835781097412
5,2023-08-07 01:30:00,1.2759984731674194,1.2745835781097412
6,2023-08-07 01:45:00,1.2760635614395142,1.2745835781097412
7,2023-08-07 02:15:00,1.2760635614395142,1.2742587327957153
8,2023-08-07 02:30:00,1.2760635614395142,1.2738852500915527
9,2023-08-07 04:45:00,1.274616003036499,1.2737555503845215
10,2023-08-07 05:00:00,1.274616003036499,1.2734960317611694
11,2023-08-07 05:15:00,1.274616003036499,1.2732689380645752
12,2023-08-07 06:00:00,1.273739218711853,1.2732040882110596
13,2023-08-07 06:15:00,1.273739218711853,1.2729448080062866
14,2023-08-07 06:30:00,1.273739218711853,1.2722645998001099
15,2023-08-07 06:45:00,1.273739218711853,1.2721675634384155
16,2023-08-07 07:00:00,1.273739218711853,1.2718439102172852
17,2023-08-07 07:30:00,1.273739218711853,1.271504282951355
18,2023-08-07 08:15:00,1.2740639448165894,1.271504282951355
19,2023-08-07 08:45:00,1.2743724584579468,1.271504282951355
20,2023-08-07 12:30:00,1.2744048833847046,1.2717629671096802
21,2023-08-07 12:45:00,1.2744535207748413,1.2717629671096802
22,2023-08-07 13:00:00,1.2749898433685303,1.2717629671096802
23,2023-08-07 13:15:00,1.2759333848953247,1.2717629671096802
24,2023-08-07 13:30:00,1.2761613130569458,1.2717629671096802
25,2023-08-07 13:45:00,1.2772533893585205,1.2717629671096802
26,2023-08-07 14:00:00,1.277955174446106,1.2717629671096802
27,2023-08-07 14:30:00,1.2786905765533447,1.2717629671096802
28,2023-08-07 19:00:00,1.2789523601531982,1.2764219045639038
29,2023-08-08 02:15:00,1.2785598039627075,1.2761287689208984
30,2023-08-08 02:30:00,1.2785598039627075,1.2757705450057983
31,2023-08-08 02:45:00,1.2785598039627075,1.2754288911819458
32,2023-08-08 03:00:00,1.2785598039627075,1.2752337455749512
33,2023-08-08 08:30:00,1.2772533893585205,1.273934006690979
34,2023-08-08 10:15:00,1.275738000869751,1.273836612701416
35,2023-08-08 10:30:00,1.275738000869751,1.2735122442245483
36,2023-08-08 10:45:00,1.275738000869751,1.273123025894165
37,2023-08-08 11:00:00,1.275738000869751,1.2722808122634888
38,2023-08-08 11:15:00,1.275738000869751,1.2719571590423584
39,2023-08-08 11:30:00,1.275738000869751,1.2719248533248901
40,2023-08-08 12:00:00,1.275738000869751,1.271795392036438
41,2023-08-08 12:15:00,1.2728151082992554,1.2716498374938965
42,2023-08-08 12:30:00,1.2728151082992554,1.270228385925293
43,2023-08-08 12:45:00,1.2728151082992554,1.269776701927185
44,2023-08-08 13:00:00,1.2728151082992554,1.2696478366851807
45,2023-08-08 13:15:00,1.2728151082992554,1.269083857536316
46,2023-08-08 13:30:00,1.2728151082992554,1.26850426197052
47,2023-08-08 16:30:00,1.2729772329330444,1.268842339515686
48,2023-08-08 17:00:00,1.2731068134307861,1.268842339515686
49,2023-08-08 17:15:00,1.273577094078064,1.268842339515686
50,2023-08-08 17:30:00,1.2742424011230469,1.268842339515686
51,2023-08-08 18:30:00,1.2745672464370728,1.268842339515686
52,2023-08-08 18:45:00,1.2746485471725464,1.268842339515686
53,2023-08-08 19:45:00,1.2746973037719727,1.273658275604248
54,2023-08-08 20:15:00,1.275136113166809,1.273658275604248
55,2023-08-09 02:15:00,1.2751686573028564,1.2739989757537842
56,2023-08-09 02:30:00,1.2752825021743774,1.2739989757537842
57,2023-08-09 03:45:00,1.2756891250610352,1.2746485471725464
58,2023-08-09 04:00:00,1.275982141494751,1.2746485471725464
59,2023-08-09 06:00:00,1.2766337394714355,1.2751199007034302
60,2023-08-09 06:15:00,1.2767804861068726,1.2751199007034302
61,2023-08-09 07:30:00,1.2774981260299683,1.2759984731674194
62,2023-08-09 07:45:00,1.2777103185653687,1.2759984731674194
63,2023-08-09 08:00:00,1.277955174446106,1.2759984731674194
64,2023-08-09 09:00:00,1.2773349285125732,1.275965929031372
65,2023-08-09 09:15:00,1.2773349285125732,1.2751524448394775
66,2023-08-09 09:30:00,1.2773349285125732,1.274957299232483
67,2023-08-09 10:00:00,1.2773349285125732,1.2749085426330566
68,2023-08-09 10:15:00,1.2773349285125732,1.2746485471725464
69,2023-08-09 10:30:00,1.2773349285125732,1.2737879753112793
70,2023-08-09 10:45:00,1.2773349285125732,1.2731393575668335
71,2023-08-09 11:00:00,1.2773349285125732,1.273058295249939
72,2023-08-09 13:00:00,1.2741937637329102,1.272248387336731
73,2023-08-09 13:15:00,1.2741937637329102,1.2714558839797974
74,2023-08-09 14:00:00,1.274518609046936,1.2714558839797974
75,2023-08-09 14:30:00,1.2749898433685303,1.2714558839797974
76,2023-08-09 16:45:00,1.2749898433685303,1.2712618112564087
77,2023-08-10 01:30:00,1.2721675634384155,1.2711488008499146
78,2023-08-10 02:00:00,1.2721675634384155,1.2710840702056885
79,2023-08-10 02:15:00,1.2721675634384155,1.271019458770752
80,2023-08-10 03:00:00,1.272329330444336,1.271019458770752
81,2023-08-10 06:45:00,1.2724913358688354,1.2712457180023193
82,2023-08-10 07:00:00,1.2730907201766968,1.2712457180023193
83,2023-08-10 07:15:00,1.2731716632843018,1.2712457180023193
84,2023-08-10 07:45:00,1.2734473943710327,1.2712457180023193
85,2023-08-10 08:00:00,1.2748597860336304,1.2712457180023193
